australia-3Obj-Biased-regular-Sample,Round 2,MinMaj cold start
0.8497109826589595,0.8092485549132948,0.8208092485549133
0.838150289017341,0.8728323699421965,0.8265895953757225
0.861271676300578,0.8554913294797688,0.8497109826589595
0.8439306358381503,0.8497109826589595,0.8728323699421965
0.8092485549132948,0.8265895953757225,0.815028901734104
0.8786127167630058,0.9017341040462428,0.8208092485549133
0.815028901734104,0.8323699421965318,0.8670520231213873
0.8439306358381503,0.8323699421965318,0.8554913294797688
0.8323699421965318,0.815028901734104,0.8670520231213873
0.8265895953757225,0.838150289017341,0.8323699421965318
